lead_id,entry_date,month,month_num,source,industry,final_stage,days_in_funnel,close_date,mrr,cac,is_won,is_lost
1,2025-01-01,January,1,Referral,SaaS,Closed Lost,4,,0,113.68,0,1
2,2025-01-01,January,1,Email Campaign,SaaS,Closed Lost,9,,0,156.65,0,1
3,2025-01-01,January,1,Paid Search,SaaS,Closed Lost,5,,0,320.99,0,1
4,2025-01-01,January,1,Paid Search,Agency,Closed Lost,22,,0,313.69,0,1
5,2025-01-01,January,1,Email Campaign,Agency,Closed Lost,8,,0,158.29,0,1
6,2025-01-01,January,1,Organic Search,Agency,Closed Lost,43,,0,193.91,0,1
7,2025-01-02,January,1,Paid Search,Healthcare,Closed Lost,6,,0,307.06,0,1
8,2025-01-02,January,1,Social Media,Agency,Closed Lost,8,,0,329.55,0,1
9,2025-01-02,January,1,Social Media,Agency,Closed Lost,4,,0,315.85,0,1
10,2025-01-02,January,1,Paid Search,E-commerce,Closed Lost,50,,0,324.37,0,1
11,2025-01-02,January,1,Social Media,Agency,Closed Lost,10,,0,287.92,0,1
12,2025-01-02,January,1,Organic Search,E-commerce,Closed Lost,4,,0,181.91,0,1
13,2025-01-03,January,1,Referral,E-commerce,Closed Lost,8,,0,94.38,0,1
14,2025-01-03,January,1,Referral,E-commerce,Closed Lost,21,,0,109.32,0,1
15,2025-01-03,January,1,Referral,Finance,Closed Lost,10,,0,95.59,0,1
16,2025-01-03,January,1,Referral,Finance,Closed Lost,5,,0,111.01,0,1
17,2025-01-03,January,1,Email Campaign,E-commerce,Closed Lost,8,,0,178.44,0,1
18,2025-01-04,January,1,Referral,Healthcare,Closed Lost,41,,0,99.39,0,1
19,2025-01-04,January,1,Organic Search,Healthcare,Closed Lost,8,,0,203.81,0,1
20,2025-01-04,January,1,Social Media,Healthcare,Closed Lost,3,,0,312.36,0,1
21,2025-01-05,January,1,Email Campaign,Finance,Closed Won,42,2025-02-16,1456.08,158.72,1,0
22,2025-01-05,January,1,Email Campaign,SaaS,Closed Lost,15,,0,176.07,0,1
23,2025-01-05,January,1,Organic Search,Healthcare,Closed Lost,5,,0,204.79,0,1
24,2025-01-05,January,1,Social Media,Agency,Closed Lost,30,,0,313.86,0,1
25,2025-01-05,January,1,Social Media,SaaS,Closed Lost,20,,0,335.82,0,1
26,2025-01-05,January,1,Paid Search,Agency,Closed Lost,40,,0,336.97,0,1
27,2025-01-05,January,1,Organic Search,E-commerce,Closed Lost,5,,0,193.67,0,1
28,2025-01-05,January,1,Paid Search,Agency,Closed Lost,8,,0,344.23,0,1
29,2025-01-06,January,1,Email Campaign,Healthcare,Closed Lost,9,,0,180.41,0,1
30,2025-01-06,January,1,Paid Search,Healthcare,Closed Lost,8,,0,350.57,0,1
31,2025-01-06,January,1,Organic Search,E-commerce,Closed Lost,6,,0,207.11,0,1
32,2025-01-07,January,1,Social Media,E-commerce,Closed Lost,40,,0,336.55,0,1
33,2025-01-07,January,1,Referral,E-commerce,Closed Lost,4,,0,111.33,0,1
34,2025-01-07,January,1,Organic Search,Finance,Closed Lost,6,,0,198.55,0,1
35,2025-01-07,January,1,Paid Search,Finance,Closed Lost,8,,0,307.39,0,1
36,2025-01-07,January,1,Referral,Finance,Closed Lost,4,,0,109.04,0,1
37,2025-01-07,January,1,Paid Search,Healthcare,Closed Lost,17,,0,342.56,0,1
38,2025-01-07,January,1,Email Campaign,Finance,Closed Lost,8,,0,160.31,0,1
39,2025-01-08,January,1,Email Campaign,Healthcare,Closed Lost,11,,0,169.87,0,1
40,2025-01-08,January,1,Paid Search,Healthcare,Closed Lost,26,,0,318.96,0,1
41,2025-01-08,January,1,Referral,Healthcare,Closed Lost,23,,0,106.09,0,1
